filename,valence,arousal,mood_tags
3 am West End.mp3,5.416893005,4.633291245,advertising|calm|cool|corporate|documentary|dream|groovy|motivational|nature|relaxing|romantic|sad|soft|uplifting
A Very Brady Special.mp3,4.435067177,2.952240944,ballad|calm|cool|emotional|happy|holiday|hopeful|inspiring|meditative|melancholic|nature|relaxing|romantic|sad|soft|uplifting
A Waltz For Naseem.mp3,3.779275179,2.785323381,children|christmas|documentary|drama|dream|emotional|epic|film|holiday|meditative|nature|relaxing|romantic|space
After the End.mp3,4.651865959,4.426431656,adventure|advertising|calm|dark|documentary|drama|dream|movie|retro|soundscape|travel
Alien Spaceship Atmosphere.mp3,2.082063437,1.546509862,background|calm|dark|documentary|dream|film|meditative|nature|relaxing|soundscape|space
Amazing Grace.mp3,4.01751852,2.808017492,emotional|film|meditative|melancholic|nature|relaxing|romantic|sad
Ambush in Rattlesnake Gulch.mp3,5.388568878,5.189629555,adventure|advertising|children|cool|corporate|documentary|drama|energetic|fast|film|fun|funny|groovy|happy|movie|party|sexy|travel|upbeat
Ancient Rite.mp3,2.202733994,2.312008381,calm|dark|documentary|drama|epic|film|meditative|movie|nature|relaxing|sad|soft|soundscape
And Just Like That.mp3,6.448189259,4.846040726,advertising|background|children|commercial|corporate|documentary|fun|funny|game|happy|holiday|inspiring|motivational|nature|positive|travel|upbeat|uplifting
Aquatic City Vanished.mp3,5.826785564,4.764158249,advertising|background|calm|children|commercial|cool|corporate|documentary|drama|dream|groovy|meditative|movie|nature|relaxing|soft|travel|uplifting
Arpent.mp3,6.694878578,5.625578403,dream|game|groovy|melodic|party|retro|slow|space|travel
Awkward Apocalyptic Pickup.mp3,3.367826939,3.13646841,documentary|drama|dramatic|dream|emotional|epic|film|inspiring|meditative|nature|romantic|sad|soundscape|trailer
Backbeat.mp3,5.647838116,4.543688297,advertising|background|corporate|deep|retro|sexy
Bar Brawl.mp3,5.179015636,4.642742157,adventure|advertising|children|commercial|corporate|documentary|drama|energetic|fast|film|happy|inspiring|movie|nature|travel|upbeat|uplifting
Battle Ready.mp3,3.70768857,4.298163414,action|adventure|advertising|dark|documentary|drama|dramatic|epic|film|movie|trailer
Bavarian Seascape.mp3,6.883019924,5.93378067,energetic|fast|fun|happy|party|upbeat
Beginning of Conflict.mp3,4.891958714,4.134553909,action|advertising|background|calm|documentary|film|movie|nature|relaxing|soft|space
Bit Bit Loop.mp3,7.4243536,6.692185402,commercial|energetic|fast|fun|funny|game|groovy|happy|party|retro|sexy|sport|upbeat
Bollywood Groove.mp3,4.517173767,4.212757111,action|adventure|children|documentary|epic|fast|funny
Busybody.mp3,6.849936008,5.678475857,adventure|advertising|children|commercial|corporate|documentary|film|fun|funny|game|happy|movie|nature|positive
Cha-Cha Ender.mp3,4.770419121,4.299943447,action|adventure|commercial|dark|documentary|drama|fun|funny|game
Champ de tournesol.mp3,5.385043144,3.886623859,calm|film|happy|love|meditative|melodic|movie|nature|relaxing|soft|soundscape|travel
City Run.mp3,4.289693832,5.243937492,action|adventure|advertising|dark|documentary|dramatic|epic|film|heavy|movie|powerful|trailer
City Sunshine.mp3,5.226402283,3.988890648,advertising|background|calm|children|commercial|corporate|energetic|fun|happy|inspiring|motivational|party|positive|relaxing|sexy|soft|summer|upbeat|uplifting
Connecting Rainbows.mp3,3.918131113,2.84031105,calm|children|documentary|drama|dream|emotional|film|inspiring|meditative|melancholic|nature|relaxing|romantic|sad|slow|soft
Coy Koi.mp3,6.077928543,4.591079235,advertising|background|calm|children|commercial|dream|fun|happy|holiday|hopeful|inspiring|motivational|nature|positive|soft|travel|upbeat|uplifting
Cursed Intro.mp3,3.720916271,4.946774006,action|adventure|advertising|dark|documentary|drama|dramatic|emotional|epic|film|movie|powerful|trailer
Dreams of Vain.mp3,4.20532465,3.432084799,action|advertising|background|calm|documentary|dramatic|dream|epic|film|inspiring|movie|nature|relaxing|romantic|soft|soundscape|space|trailer
Driving Concern.mp3,5.201516151,4.714528084,background|calm|cool|deep|dream|groovy|love|melodic|retro|romantic|sexy|soft|sport|summer|uplifting
Drop Point.mp3,5.558672905,5.485257626,action|adventure|advertising|children|cool|corporate|dark|documentary|drama|energetic|fast|fun|funny|groovy|movie|sport
Finally See The Light.mp3,6.02712059,5.174703598,background|cool|corporate|deep|documentary|dream|groovy|melodic|relaxing|retro|romantic|sexy|soft|summer|upbeat
Footsteps in the Attic.mp3,4.537833691,4.334478378,children|documentary|drama|film|funny|game|movie|nature|soft|travel
Forest Frolic Loop.mp3,5.200497627,4.256688595,adventure|advertising|children|christmas|commercial|corporate|documentary|drama|fun|funny|game|happy|holiday|nature|positive|travel|upbeat|uplifting
Fresh Focus.mp3,5.870211601,4.352444172,advertising|background|calm|commercial|corporate|energetic|fun|happy|hopeful|inspiring|motivational|party|positive|soft|upbeat|uplifting
Fright Night Twist.mp3,7.026098728,6.163821697,adventure|children|christmas|commercial|corporate|documentary|fast|groovy|retro|travel
From Page to Practice.mp3,6.062226295,4.664771557,advertising|background|calm|children|commercial|documentary|drama|dream|happy|nature|relaxing|romantic
Funky Energy Loop.mp3,6.008113861,5.35804987,adventure|advertising|background|calm|children|commercial|cool|corporate|documentary|energetic|fast|fun|funny|groovy|happy|movie|party|positive|retro|sexy|sport|upbeat|uplifting
Funshine.mp3,7.365865231,5.82013464,advertising|background|children|commercial|energetic|fast|fun|funny|groovy|happy|inspiring|party|positive|sexy|summer|travel|upbeat|uplifting
Go On Without Me.mp3,3.891691685,3.032188416,dark|documentary|drama|dramatic|dream|emotional|film|meditative|nature|relaxing|sad|slow|soundscape|space
Going Bananas.mp3,7.620790005,7.29097414,advertising|children|christmas|commercial|corporate|energetic|fast|fun|funny|game|groovy|happy|holiday|motivational|party|positive|retro|sport|upbeat|uplifting
Goodnightmare.mp3,6.096347809,6.152680874,dark|game|retro|space
Gothamlicious.mp3,3.926621914,4.022499084,action|adventure|documentary|drama|dramatic|epic|film|movie|romantic|trailer
Gotta Keep On Movin.mp3,6.112021446,5.049747944,advertising|background|children|commercial|documentary|fun|funny|game|groovy|happy|movie|sport|travel|upbeat
Hear What They Say.mp3,6.359619617,6.250266075,fast|fun|game|groovy|happy|party|powerful|slow
Hello! Ma Baby.mp3,6.175535679,5.974298477,children|commercial|documentary|energetic|fast|fun|funny|happy|holiday|positive|travel|upbeat
Hidden Truth.mp3,3.305566788,2.921682358,action|adventure|advertising|documentary|drama|dramatic|emotional|epic|film|movie|nature|trailer
